index,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genre,spoken_languages,production_countries
22,https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"subject : Movies;persons : Kurosawa, Kiyoshi;creative_works : Wife of a Spy (Movie);",2021-09-16T11:00:07+0000,448,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,Critic’s Pick,,Marriage Amid Nationalism,,,,By Glenn Kenny,,Wife of a Spy,スパイの妻,0,ja,https://intl.nikkatsu.com/sales/358.html,"It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions.",14.557,114,0,2020-10-16,6.6,81,"'Drama', 'War', 'Thriller'","'English', 'Japanese'","'iso_3166_1': 'JP', 'name': 'Japan'"
23,https://www.nytimes.com/2021/09/02/movies/happier-than-ever-review.html,"In the Disney+ concert film “Happier Than Ever: A Love Letter to Los Angeles,” the pop star Billie Eilish pays tribute to the star-struck hauntedness of that city.",The New York Times,"subject : Documentary Films and Programs;subject : Music;persons : Eilish, Billie;persons : Rodriguez, Robert;creative_works : Happier Than Ever: A Love Letter to Los Angeles (Movie);persons : Osborne, Patrick (Film Director);glocations : Los Angeles (Calif);",2021-09-02T11:00:07+0000,302,‘Happier Than Ever’ Review: Modern Pop Meets Classic Hollywood,,,Happier Than Ever:  A Love Letter  to Los Angeles,,,,By Teo Bugbee,,Happier Than Ever,Nunca Fomos Tão Felizes,0,pt,,"During the military dictatorship, a political militant takes his son out of the boarding school, and puts him temporarily in a friend's luxury and empty apartment in Copacabana beach. The son knows very little about his father, and the latter cannot really explain his activities to his son, fearing for his security. So the young man stands alone in the huge apartment, waiting for the infrequent meetings with his father, without really knowing what's going on.",0.902,91,0,1984-08-28,4.7,6,'Drama','Portuguese',"'iso_3166_1': 'BR', 'name': 'Brazil'"
24,https://www.nytimes.com/2021/08/26/movies/together-review.html,Sharon Horgan and James McAvoy play a battling couple trapped in lockdown in this theatrical pandemic drama.,The New York Times,"subject : Movies;creative_works : Together (Movie);persons : Daldry, Stephen;persons : McAvoy, James;persons : Horgan, Sharon (1970- );",2021-08-26T11:00:06+0000,412,‘Together’ Review: Love and Loathing in London,,,Love and Loathing in a Blighted London,,,,By Jeannette Catsoulis,,Together,Together,0,en,https://www.bbc.co.uk/programmes/m000x2lk,A husband and wife are forced to re-evaluate themselves and their relationship through the reality of the Covid-19 lockdown.,14.209,87,214390,2021-08-27,5.849,83,"'Drama', 'Comedy'",'English',"'iso_3166_1': 'GB', 'name': 'United Kingdom'"
25,https://www.nytimes.com/2021/08/05/movies/annette-review.html,"Adam Driver and Marion Cotillard are star-crossed lovers in this hallucinatory musical, written by Sparks and directed by Leos Carax.",The New York Times,"subject : Movies;persons : Carax, Leos;persons : Cotillard, Marion;persons : Driver, Adam;persons : Mael, Ron;persons : Mael, Russell;creative_works : Annette (Movie);organizations : Sparks (Music Group);",2021-08-05T11:00:07+0000,1069,‘Annette’ Review: Love Hurts,Critic’s Pick,,A Star Is Born. You Won’t Like Him.,,,,By A.O. Scott,,Annette,Annette,15500000,fr,https://www.amazon.com/dp/B093KHDSHR,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",31.015,140,3700000,2021-07-07,6.766,659,"'Drama', 'Romance'","'English', 'French'","'iso_3166_1': 'BE', 'name': 'Belgium', 'iso_3166_1': 'FR', 'name': 'France', 'iso_3166_1': 'DE', 'name': 'Germany', 'iso_3166_1': 'GR', 'name': 'Greece', 'iso_3166_1': 'JP', 'name': 'Japan', 'iso_3166_1': 'MX', 'name': 'Mexico', 'iso_3166_1': 'CH', 'name': 'Switzerland'"
26,https://www.nytimes.com/2021/07/14/movies/casanova-last-love-review-reappraising-a-philanderer.html,Benoît Jacquot’s erotic costume drama envisions the Italian playboy as a weathered sad sack living in exile.,The New York Times,"subject : Movies;persons : Jacquot, Benoit;creative_works : Casanova, Last Love (Movie);",2021-07-14T22:12:43+0000,312,"‘Casanova, Last Love’ Review: Reappraising a Philanderer",,,"Casanova, Last Love",,,,By Beatrice Loayza,,"Casanova, Last Love",Dernier amour,0,fr,https://lesfilmsdufleuve.be/en/movies/dernier-amour,"Year 1763. Forced into exile, the famous libertine Giacomo Casanova leaves Paris and travels to London, where he meets Marianne de Charpillon, a young prostitute to whom he is so attracted that he forgets about the other women.",10.316,99,0,2019-03-20,4.7,34,"'Drama', 'Romance'","'English', 'French', 'German', 'Italian'","'iso_3166_1': 'BE', 'name': 'Belgium', 'iso_3166_1': 'FR', 'name': 'France', 'iso_3166_1': 'US', 'name': 'United States of America'"
27,https://www.nytimes.com/2021/05/20/movies/this-town-review.html,This small-town comedy from New Zealand looks at the romance between a country girl and a man accused of killing his family.,The New York Times,"subject : Movies;creative_works : This Town (Movie);persons : White, David (Director);",2021-05-20T20:19:17+0000,287,‘This Town’ Review: Love and Rifles,,,This Town,,,,By Devika Girish,,This Town,This Town,0,en,https://www.flicks.co.nz/movie/this-town-2020/,"Five years after being acquitted for the murder of his family, Sean (White) is finally ready to move on with life. But the bitter ex-cop (Malcolm) who led the investigation remains adamant that he's guilty - and will stop at nothing to bring him down.",2.266,91,0,2020-04-30,5.8,6,'Comedy','English',"'iso_3166_1': 'NZ', 'name': 'New Zealand'"
28,https://www.nytimes.com/2021/04/15/movies/monday-review.html,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",The New York Times,"subject : Movies;persons : Papadimitropoulos, Argyris;persons : Stan, Sebastian;persons : Gough, Denise (1980- );creative_works : Monday (Movie);",2021-04-15T11:00:08+0000,349,‘Monday’ Review: A Year of Love and Its Hangovers,,,Monday,,,,By Glenn Kenny,,Monday,Monday,0,en,https://www.monday.movie,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",34.35,116,0,2020-09-11,6.6,160,"'Drama', 'Romance'","'English', 'Greek'","'iso_3166_1': 'GR', 'name': 'Greece', 'iso_3166_1': 'GB', 'name': 'United Kingdom', 'iso_3166_1': 'US', 'name': 'United States of America'"
29,https://www.nytimes.com/2021/03/18/movies/happily-review.html,"In this keeps-you-guessing comedy, Joel McHale and Kerry Bishé play a couple married for 14 years whose mutual passion is undimmed, to the annoyance of their friends.",The New York Times,"subject : Movies;creative_works : Happily (Movie);persons : Grabinski, BenDavid;",2021-03-18T11:00:06+0000,344,‘Happily’ Review: Does Long-Lived Love Mean You Need Treatment?,,,Happily,,,,By Glenn Kenny,,Happily,Happily,0,en,https://www.commonwall.com/films/happily,"Tom and Janet have been happily married for years. But a visit from a mysterious stranger leads to a dead body, a lot of questions, and a tense couples' trip with friends who may not actually be friends at all.",21.428,96,0,2021-03-19,5.7,110,"'Comedy', 'Romance', 'Science Fiction', 'Thriller'",'English',"'iso_3166_1': 'US', 'name': 'United States of America'"
30,https://www.nytimes.com/2021/02/23/movies/this-is-the-life-review.html,"Ava DuVernay’s 2008 documentary, now streaming on Netflix, is a personal love letter to a slice of Los Angeles’s 1990s hip-hop scene.",The New York Times,"subject : Documentary Films and Programs;subject : Rap and Hip-Hop;persons : DuVernay, Ava;subject : Black People;subject : Blacks;glocations : California;glocations : Los Angeles (Calif);creative_works : This Is the Life (Movie);",2021-02-23T19:47:00+0000,470,‘This Is the Life’ Review: A Valuable Part of Hip-Hop History,Critic’s Pick,,A Love Letter to 1990s California Hip-Hop,,,,By Robert Daniels,,This Is the Life,This Is the Life,0,en,http://www.goodlifelove.com,"In 1989, a collective of young hip hop artists gathered at a health food café in South Central Los Angeles. Their mandate? To reject gang culture and expand the musical boundaries of hip hop. DuVernay's documentary chronicles the historic legacy of the Good Life Cafe — the open mic nights that became an L.A. institution, the eclectic array of talented young MCs that emerged there, the alternative hip hop movement they developed, and their worldwide influence on the artform.",3.383,97,0,2008-02-08,6.4,7,"'Documentary', 'Music'",'English',"'iso_3166_1': 'US', 'name': 'United States of America'"
31,https://www.nytimes.com/2021/02/04/movies/two-of-us-review-thwarted-love.html,An older lesbian couple is met with unexpected devastation in this aching romantic drama by Filippo Meneghetti.,The New York Times,"subject : Movies;persons : Sukowa, Barbara;creative_works : Two of Us (Movie);persons : Meneghetti, Filippo;",2021-02-04T12:00:03+0000,313,‘Two of Us’ Review: Thwarted Love,,,Two of Us,,,,By Beatrice Loayza,,Two of Us,Deux,0,fr,https://www.twoofusfilm.com,"Nina and Madeleine have been sharing their lives and the landing between their two apartments for decades. After more than 20 years of loving in the shadows, Madeleine promises Nina she will tell her family the truth. It takes an unexpected event to show her the importance of living your truth.",23.281,92,208723,2020-02-12,7.055,154,"'Drama', 'Romance'","'German', 'French'","'iso_3166_1': 'BE', 'name': 'Belgium', 'iso_3166_1': 'FR', 'name': 'France', 'iso_3166_1': 'LU', 'name': 'Luxembourg'"
32,https://www.nytimes.com/2021/01/21/movies/atlantis-review-a-bleak-apocalypse-love-story.html,"Ukraine’s official Oscar entry, the movie depicts an all-too-convincing dystopia, with no fancy gadgets or cars.",The New York Times,"subject : Movies;creative_works : Atlantis (Movie);persons : Vasyanovych, Valentyn;",2021-01-21T12:00:06+0000,320,‘Atlantis’ Review: A Bleak Apocalypse Love Story,Critic’s Pick,,Atlantis,,,,By Glenn Kenny,,Atlantis,Atlantis,0,fr,,"Atmospheric soundtrack follows this compilation of nature footage that focuses on the ocean and various life forms that live, mate and die in it.",18.078,74,138,1991-08-21,6.254,46,"'Music', 'Documentary'",'French',"'iso_3166_1': 'FR', 'name': 'France', 'iso_3166_1': 'IT', 'name': 'Italy'"
33,https://www.nytimes.com/2020/12/17/movies/museum-town-review.html,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,The New York Times,"subject : Documentary Films and Programs;subject : Art;creative_works : Museum Town (Movie);persons : Trainer, Jennifer;organizations : Massachusetts Museum of Contemporary Art;subject : Museums;glocations : North Adams (Mass);",2020-12-17T15:49:52+0000,280,‘Museum Town’ Review: A Love Letter to Mass MoCA,,,Museum Town,,,,By Lovia Gyarkye,,Museum Town,Museum Town,0,en,https://www.museumtownmovie.com/,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,3.568,75,0,2019-03-10,0.0,0,'Documentary','English',"'iso_3166_1': 'US', 'name': 'United States of America'"
34,https://www.nytimes.com/2020/11/26/movies/my-psychedelic-love-story-review.html,"This Errol Morris documentary explores the relationship between the LSD guru and Joanna Harcourt-Smith, a woman who likened herself to Mata Hari.",The New York Times,"subject : Documentary Films and Programs;creative_works : My Psychedelic Love Story (Movie);persons : Harcourt-Smith, Joanna (1946-2020);persons : Morris, Errol;subject : LSD (Lysergic Acid Diethylamide);subject : Content Type: Personal Profile;",2020-11-26T12:00:05+0000,599,‘My Psychedelic Love Story’ Review: On the Run With Timothy Leary,Critic’s Pick,,Acid and Romance: On the Run With Timothy Leary,,,,By Glenn Kenny,,My Psychedelic Love Story,My Psychedelic Love Story,0,en,https://www.sho.com/titles/3497302/my-psychedelic-love-story,An examination of the notorious high priest of LSD Timothy Leary through the eyes of his famed lover Joanna Harcourt-Smith.,1.87,107,0,2020-10-22,6.3,7,'Documentary','English',"'iso_3166_1': 'US', 'name': 'United States of America'"
35,https://www.nytimes.com/2020/11/17/movies/69-saga-of-danny-hernadez-review.html,The rise and fall of the provocative rapper Tekashi69 is chronicled in this Hulu documentary.,The New York Times,"subject : Documentary Films and Programs;subject : Rap and Hip-Hop;persons : Gandhi, Vikram;persons : 6ix9ine (Rapper);creative_works : 69: The Saga of Danny Hernandez (Movie);",2020-11-17T19:07:20+0000,363,‘69: The Saga of Danny Hernandez’ Review: A SoundCloud-Rap Rat,,,"Loved in Hip-Hop, but Loathed in the End",,,,By Calum Marsh,,69: The Saga of Danny Hernandez,69: The Saga of Danny Hernandez,0,en,https://www.hulu.com/movie/69-the-saga-of-danny-hernandez-345025ec-5022-4cca-a5f7-d3870fce96b3,"Part investigative documentary, part real-life gangster movie, this film unpacks the life of polarizing rap sensation and internet troll Tekashi69, aka 69, while chronicling his meteoric rise and fall from fame.",2.299,101,0,2021-04-29,6.0,12,"'Music', 'Documentary'",'English',"'iso_3166_1': 'US', 'name': 'United States of America'"
36,https://www.nytimes.com/2020/11/12/movies/ammonite-review.html,Kate Winslet’s fossil hunter and Saoirse Ronan’s convalescent embark on a forbidden seaside romance.,The New York Times,"subject : Movies;persons : Ronan, Saoirse;persons : Winslet, Kate;persons : Lee, Francis (1969- );creative_works : Ammonite (Movie);",2020-11-12T12:00:04+0000,510,‘Ammonite’ Review: Love on the Rocks,Critic’s Pick,,Love on the Rocks,,,,By Jeannette Catsoulis,,Ammonite,Ammonite,0,en,https://www.ammonite-movie.com,"In 1840s England, palaeontologist Mary Anning and a young woman sent by her husband to convalesce by the sea develop an intense relationship. Despite the chasm between their social spheres and personalities, Mary and Charlotte discover they can each offer what the other has been searching for: the realisation that they are not alone. It is the beginning of a passionate and all-consuming love affair that will defy all social bounds and alter the course of both lives irrevocably.",35.497,118,1396905,2020-11-13,7.004,550,"'Romance', 'Drama'",'English',"'iso_3166_1': 'GB', 'name': 'United Kingdom'"
37,https://www.nytimes.com/2020/10/15/movies/love-and-monsters-review.html,The new sci-fi adventure from Michael Matthews lacks the self-seriousness of typical dystopian flicks but doesn’t completely lack depth.,The New York Times,"persons : Matthews, Michael (Film Director);subject : Movies;creative_works : Love and Monsters (Movie);",2020-10-15T11:00:07+0000,284,‘Love and Monsters’ Review: Coming-of-Age After the Apocalypse,,,Love and Monsters,,,,By Lovia Gyarkye,,Love and Monsters,Love and Monsters,30000000,en,https://www.paramountmovies.com/movies/love-and-monsters,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",35.127,109,1122066,2020-10-16,7.313,3940,"'Comedy', 'Action', 'Adventure', 'Science Fiction'",'English',"'iso_3166_1': 'US', 'name': 'United States of America'"
38,https://www.nytimes.com/2020/10/01/movies/dick-johnson-is-dead-review.html,"With the help of her father, the documentary filmmaker Kirsten Johnson made a surprising, endearing movie about his death.",The New York Times,"creative_works : Dick Johnson Is Dead (Movie);subject : Documentary Films and Programs;persons : Johnson, Kirsten (1965- );creative_works : Cameraperson (Movie);subject : Death and Dying;",2020-10-01T11:00:08+0000,816,"‘Dick Johnson Is Dead’ Review: A Father’s Painful, Funny Goodbye",Critic’s pick,,A Love Letter Delivered Along With a Death Notice,,,,By Manohla Dargis,,Dick Johnson Is Dead,Dick Johnson Is Dead,0,en,https://www.netflix.com/title/80234465,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",9.518,89,0,2020-01-23,7.2,124,'Documentary','English',"'iso_3166_1': 'US', 'name': 'United States of America'"
39,https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"subject : Movies;creative_works : Cyrano, My Love (Movie);persons : Michalik, Alexis;",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance",,,"Cyrano, My Love",,,,By Jeannette Catsoulis,,"Cyrano, My Love",Edmond,9208475,fr,http://roadsideattractions.com/filmography/cyranomylove,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",13.429,113,0,2018-11-10,7.501,488,"'Comedy', 'History'","'French', 'Russian'","'iso_3166_1': 'BE', 'name': 'Belgium', 'iso_3166_1': 'FR', 'name': 'France'"
40,https://www.nytimes.com/2019/05/16/movies/asako-i-and-ii-review.html,The Japanese director Ryusuke Hamaguchi follows up his marathon “Happy Hour” with a story of love among young urbanites.,The New York Times,"subject : Movies;creative_works : Asako I & II (Movie);persons : Hamaguchi, Ryusuke;",2019-05-16T11:00:01+0000,547,‘Asako I & II’ Review: Double the Love (and the Heartbreak),Critic’s Pick,,Falling For a Drifter And His Lookalike,,,,By Glenn Kenny,,Asako I & II,寝ても覚めても,0,ja,http://www.netemosametemo.jp/,"College student Asako falls in love at first sight with Baku after meeting at a photography exhibit. Romance sparks between the two but doesn't last long when Baku suddenly disappears from her life. Two years later, she spots a man that bears a striking resemblance to him. Even though it is only his physical similarities to Baku that attracted her to him, she doesn't say so and starts dating the soft-spoken young man called Ryohei.",15.461,119,0,2018-09-01,6.799,169,"'Drama', 'Romance'","'Japanese', 'English'","'iso_3166_1': 'JP', 'name': 'Japan'"
41,https://www.nytimes.com/2019/05/02/movies/clara-review.html,A ruthless empiricist searching for life beyond Earth learns a thing or two about life on the planet.,The New York Times,"subject : Movies;creative_works : Clara (Movie);persons : Adams, Patrick J;persons : Esmer, Ennis (1978- );persons : Sherman, Akash;",2019-05-02T11:00:04+0000,256,‘Clara’ Review: Love Means Never Having to Say You’re Starry,,,Clara,,,,By Ben Kenigsberg,,Clara,Clara,0,en,,An astronomer becomes obsessed with searching the cosmos for signs of life beyond Earth which leads to a shocking discovery.,15.95,106,0,2018-11-30,7.5,199,"'Science Fiction', 'Drama', 'Romance'","'Spanish', 'English'","'iso_3166_1': 'CA', 'name': 'Canada'"
